BibTeX;Style;Referenzstring
"@Article{Taylor2008BoneAA,
 author = {D. Taylor},
 booktitle = {Studies in Health Technology and Informatics},
 journal = {Studies in health technology and informatics},
 pages = {
          221-9
        },
 title = {Bone as a structural material: how good is it?},
 volume = {133},
 year = {2008}
}
";plain;"D. Taylor. Bone as a structural material: how good is it? Studies in health technology and informatics, 133:221-9, 2008.
"
"@Inproceedings{Lynch2008SeasonalSA,
 author = {K. M. Lynch},
 title = {Seasonal Soil and Plant Water Relations of Rehabilitated Sites in Gove, Northern Australia},
 year = {2008}
}
";plain;"K. M. Lynch. Seasonal Soil and Plant Water Relations of Rehabilitated Sites in Gove, Northern Australia. 2008.
"
"@Article{Zhou2017MolecularDS,
 author = {Yang Zhou and Phillip Choi},
 booktitle = {Frontiers of Chemical Science and Engineering},
 journal = {Frontiers of Chemical Science and Engineering},
 pages = {440-447},
 title = {Molecular dynamics study of water diffusion in an amphiphilic block copolymer with large difference in the blocks’ glass transition temperatures},
 volume = {11},
 year = {2017}
}
";plain;"Yang Zhou and Phillip Choi. Molecular dynamics study of water diffusion in an amphiphilic block copolymer with large difference in the blocks’ glass transition temperatures. Frontiers of Chemical Science and Engineering, 11:440-447, 2017.
"
"@Article{Hamplová2008HPLCSO,
 author = {A. Hamplová and P. Coufal and Z. Bosáková and F. Opekar and V. Kubíček},
 journal = {Chemicke Listy},
 title = {HPLC Separation of Cyclen Polycarboxylates Using Contactless Conductivity Detection},
 volume = {102},
 year = {2008}
}
";plain;"A. Hamplová, P. Coufal, Z. Bosáková, F. Opekar, and V. Kubíček. Hplc separation of cyclen polycarboxylates using contactless conductivity detection. Chemicke Listy, 2008.
"
"@Inproceedings{Kundhlande2011LANDWATERLA,
 author = {G. Kundhlande},
 title = {LAND-WATER LINKAGES: AGENT-BASED MODELLING OF LAND USE AND ITS IMPACT ON WATER RESOURCES},
 year = {2011}
}
";plain;"G. Kundhlande. LAND-WATER LINKAGES: AGENT-BASED MODELLING OF LAND USE AND ITS IMPACT ON WATER RESOURCES. 2011.
"
"@Inproceedings{Fiehweg1996EmployingAU,
 author = {R. Fiehweg and P. McCarthy},
 title = {Employing a use-attainability analysis to modify NPDES permit provisions},
 year = {1996}
}
";plain;"R. Fiehweg and P. McCarthy. Employing a use-attainability analysis to modify NPDES permit provisions. 1996.
"
"@Inproceedings{恵一2004EvaluationOP,
 author = {中俣 恵一},
 title = {Evaluation of polychlorinated dibenzo-p-dioxins and dibenzofurans, and chloroform in process water of kraft pulp bleaching mills},
 year = {2004}
}
";plain;"中俣 恵一. Evaluation of polychlorinated dibenzo-p-dioxins and dibenzofurans, and chloroform in process water of kraft pulp bleaching mills. 2004.
"
"@Inproceedings{Sathishkumar2017EXPERIMENTALIO,
 author = {K. Sathishkumar and K. Anitha},
 title = {EXPERIMENTAL INVESTIGATION ON PARTIAL REPLACEMENT OF CEMENT BY DOLOMITE AND FINE AGGREGATE BY COPPER SLAG},
 year = {2017}
}
";plain;"K. Sathishkumar and K. Anitha. EXPERIMENTAL INVESTIGATION ON PARTIAL REPLACEMENT OF CEMENT BY DOLOMITE AND FINE AGGREGATE BY COPPER SLAG. 2017.
"
"@Inproceedings{Montojo2012VulnerabilityOT,
 author = {Ulysses Montojo and M. Romero and V. Borja and Mirriam Cayme and Shigeru Sato and M. Kodama and Y. Fukuyo},
 title = {Vulnerability of tropical shellfishes against PSP contamination during bloom of Pyrodinium bahamense var. compressum},
 year = {2012}
}
";plain;"Ulysses Montojo, M. Romero, V. Borja, Mirriam Cayme, Shigeru Sato, M. Kodama, and Y. Fukuyo. Vulnerability of tropical shellfishes against PSP contamination during bloom of Pyrodinium bahamense var. compressum. 2012.
"
"@Inproceedings{尤丙夫2013MicrofiltrationMF,
 author = {尤丙夫},
 title = {Micro-filtration method for treating PM2.5 (Particulate Matter 2.5) micro-dust of cupola furnace},
 year = {2013}
}
";plain;"尤丙夫. Micro-filtration method for treating PM2.5 (Particulate Matter 2.5) micro-dust of cupola furnace. 2013.
"
"@Inproceedings{None,
 title = {International Journal of Soft Computing and Engineering},
 year = {2019}
}
";plain;"International Journal of Soft Computing and Engineering. 2019.
"
"@Inproceedings{Gürbüz2006WaterSA,
 author = {Ö. Gürbüz and F. Ünalan and Pinar Kursoglu and Turkey},
 title = {Water sorption and solubility of denture teeth acrylic resin reinforced with milled glass fiber},
 year = {2006}
}
";plain;"Ö. Gürbüz, F. Ünalan, Pinar Kursoglu, and Turkey. Water sorption and solubility of denture teeth acrylic resin reinforced with milled glass fiber. 2006.
"
"@Article{Woodruff2013TheHR,
 author = {J. F. Woodruff and J. Hewlett},
 journal = {Southeastern Geographer},
 pages = {1 - 8},
 title = {The Hydrologic Response of Small Basins in Georgia},
 volume = {11},
 year = {2013}
}
";plain;"J. F. Woodruff and J. Hewlett. The hydrologic response of small basins in georgia. Southeastern Geographer, 11:1 - 8, 2013.
"
"@Inproceedings{Niedermeier2001RemoteSO,
 author = {A. Niedermeier and D. Hoja},
 title = {Remote sensing of morphodynamics},
 year = {2001}
}
";plain;"A. Niedermeier and D. Hoja. Remote sensing of morphodynamics. 2001.
"
"@Inproceedings{Bastien2009TowardsTB,
 author = {N. Bastien and S. Arthur and M. Scholz and S. Wallace},
 title = {Towards the best management of SuDS treatment trains},
 year = {2009}
}
";plain;"N. Bastien, S. Arthur, M. Scholz, and S. Wallace. Towards the best management of SuDS treatment trains. 2009.
"
"@Inproceedings{Liu2022CommentOH,
 author = {Xin Liu},
 title = {Comment on hess-2022-31},
 year = {2022}
}
";plain;"Xin Liu. Comment on hess-2022-31. 2022.
"
"@Inproceedings{Irene2020THERO,
 author = {Airen Aigbe Irene and Eric Omo Enakireru},
 title = {THE ROLE OF LAW IN REDRESSING THE CHALLENGES OF WATER QUALITY FOR SUSTAINABLE DEVELOPMENT IN AFRICA},
 volume = {10},
 year = {2020}
}
";plain;"Airen Aigbe Irene and Eric Omo Enakireru. THE ROLE OF LAW IN REDRESSING THE CHALLENGES OF WATER QUALITY FOR SUSTAINABLE DEVELOPMENT IN AFRICA. 2020.
"
"@Inproceedings{Liu2012EllipsometryWR,
 author = {Feng Liu and Chris J. Lee and Juequan Chen and E. Louis and M. PeterJ. and van der Slot and K. Boller and F. Bijkerk},
 title = {Ellipsometry with randomly varying polarization states},
 year = {2012}
}
";plain;"Feng Liu, Chris J. Lee, Juequan Chen, E. Louis, M. PeterJ., van der Slot, K. Boller, and F. Bijkerk. Ellipsometry with randomly varying polarization states. 2012.
"
"@Inproceedings{Janssen2004TheIO,
 author = {P. Janssen},
 title = {The Interaction of Ocean Waves and Wind: The energy balance of deep-water ocean waves},
 year = {2004}
}
";plain;"P. Janssen. The Interaction of Ocean Waves and Wind: The energy balance of deep-water ocean waves. 2004.
"
"@Inproceedings{Das2007EffectOS,
 author = {U. Das and S. Bowden and M. Burrows and M. Lu and R. Birkmire},
 title = {Effect of Surface Passivation on Si Heterojunction and Interdigitated Back Contact Solar Cells},
 year = {2007}
}
";plain;"U. Das, S. Bowden, M. Burrows, M. Lu, and R. Birkmire. Effect of Surface Passivation on Si Heterojunction and Interdigitated Back Contact Solar Cells. 2007.
"
"@Article{Masebo2023TheDA,
 author = {N. Masebo and Emiru Birhane and Serekebrehane Takele and Zerihun Belay and Juan J. Lucena and Araceli Pérez-Sanz and A. Anjulo},
 booktitle = {Agroforestry Systems},
 journal = {Agroforestry Systems},
 pages = {441-459},
 title = {The diversity and abundance of soil macrofauna under different agroforestry practices in the drylands of southern Ethiopia},
 volume = {98},
 year = {2023}
}
";plain;"N. Masebo, Emiru Birhane, Serekebrehane Takele, Zerihun Belay, Juan J. Lucena, Araceli Pérez-Sanz, and A. Anjulo. The diversity and abundance of soil macrofauna under different agroforestry practices in the drylands of southern ethiopia. Agroforestry Systems, 98:441-459, 2023.
"
"@Article{Shi2018PermafrostPM,
 author = {Yaya Shi and F. Niu and Chengsong Yang and T. Che and Zhan-ju Lin and Jing Luo},
 booktitle = {Remote Sensing},
 journal = {Remote. Sens.},
 pages = {309},
 title = {Permafrost Presence/Absence Mapping of the Qinghai-Tibet Plateau Based on Multi-Source Remote Sensing Data},
 volume = {10},
 year = {2018}
}
";plain;"Yaya Shi, F. Niu, Chengsong Yang, T. Che, Zhan-ju Lin, and Jing Luo. Permafrost presence/absence mapping of the qinghai-tibet plateau based on multi-source remote sensing data. Remote. Sens., 10:309, 2018.
"
"@Article{Moura2014LargescaleDO,
 author = {Teresa Moura and Emma J Jones and M. Clarke and C. Cotton and P. Crozier and Ross K Daley and G. Díez and H. Dobby and J. E. Dyb and I. Fossen and S. Irvine and K. Jakobsdóttir and L. J. López-Abellán and P. Lorance and P. Pascual-Alayón and Ricardo Severino and I. Figueiredo},
 journal = {Fisheries Research},
 pages = {47-61},
 title = {Large-scale distribution of three deep-water squaloid sharks: Integrating data on sex, maturity and environment},
 volume = {157},
 year = {2014}
}
";plain;"Teresa Moura, Emma J Jones, M. Clarke, C. Cotton, P. Crozier, Ross K Daley, G. Díez, H. Dobby, J. E. Dyb, I. Fossen, S. Irvine, K. Jakobsdóttir, L. J. López-Abellán, P. Lorance, P. Pascual-Alayón, Ricardo Severino, and I. Figueiredo. Large-scale distribution of three deep-water squaloid sharks: integrating data on sex, maturity and environment. Fisheries Research, 157:47-61, 2014.
"
"@Inproceedings{Terasaki1960StudiesOC,
 author = {Y. Terasaki},
 title = {Studies on Cristispira in the crystalline style of a fresh water snail,Semisulcospira bensoni(Philippi),2.},
 year = {1960}
}
";plain;"Y. Terasaki. Studies on Cristispira in the crystalline style of a fresh water snail,Semisulcospira bensoni(Philippi),2. 1960.
"
"@Article{Kao2012MechanicalSO,
 author = {C. Kao and O. Ghita and K. Hallam and P. Heard and K. Evans},
 journal = {Composites Part A-applied Science and Manufacturing},
 pages = {398-406},
 title = {Mechanical studies of single glass fibres recycled from hydrolysis process using sub-critical water},
 volume = {43},
 year = {2012}
}
";plain;"C. Kao, O. Ghita, K. Hallam, P. Heard, and K. Evans. Mechanical studies of single glass fibres recycled from hydrolysis process using sub-critical water. Composites Part A-applied Science and Manufacturing, 43:398-406, 2012.
"
"@Inproceedings{Baldwin1999WashingtonDO,
 author = {Casey M. Baldwin and M. Polacek and S. Bonar},
 title = {Washington Department of Fish and Wildlife Lake Roosevelt Pelagic Fish Study, 1998},
 year = {1999}
}
";plain;"Casey M. Baldwin, M. Polacek, and S. Bonar. Washington Department of Fish and Wildlife Lake Roosevelt Pelagic Fish Study, 1998. 1999.
"
"@Article{Quintero-Betancourt2003AssessmentOM,
 author = {W. Quintero-Betancourt and A. Gennaccaro and T. Scott and Joan B. Rose},
 booktitle = {Applied and Environmental Microbiology},
 journal = {Applied and Environmental Microbiology},
 pages = {5380 - 5388},
 title = {Assessment of Methods for Detection of Infectious Cryptosporidium Oocysts and Giardia Cysts in Reclaimed Effluents},
 volume = {69},
 year = {2003}
}
";plain;"W. Quintero-Betancourt, A. Gennaccaro, T. Scott, and Joan B. Rose. Assessment of methods for detection of infectious cryptosporidium oocysts and giardia cysts in reclaimed effluents. Applied and Environmental Microbiology, 69:5380 - 5388, 2003.
"
"@Article{Liu2014CharacterizationOC,
 author = {Shi Liu and B. Liu},
 journal = {ECS Journal of Solid State Science and Technology},
 title = {Characterization of Cleanroom Dry Wipers for Trace Metal Contaminations},
 volume = {3},
 year = {2014}
}
";plain;"Shi Liu and B. Liu. Characterization of cleanroom dry wipers for trace metal contaminations. ECS Journal of Solid State Science and Technology, 2014.
"
"@Inproceedings{Berestovitskiy2017DynamicsOF,
 author = {E. G. Berestovitskiy and P. I. Kizilov and A. Kruchkov and N. V. Pialov},
 pages = {75},
 title = {Dynamics of feed water flow rate control system with low- noise regulator},
 volume = {16},
 year = {2017}
}
";plain;"E. G. Berestovitskiy, P. I. Kizilov, A. Kruchkov, and N. V. Pialov. Dynamics of feed water flow rate control system with low- noise regulator. 2017.
"
"@Article{Plachenov1965NewTI,
 author = {T. G. Plachenov},
 journal = {Russian Chemical Bulletin},
 pages = {939-944},
 title = {New trends in sorption technique Report at the general meeting of the Department of General and Technical Chemistry, Academy of Sciences, USSR, October 21, 1964},
 volume = {14},
 year = {1965}
}
";plain;"T. G. Plachenov. New trends in sorption technique report at the general meeting of the department of general and technical chemistry, academy of sciences, ussr, october 21, 1964. Russian Chemical Bulletin, 14:939-944, 1965.
"
"@Article{Dorodnikov2007EffectsOA,
 author = {M. Dorodnikov and A. Fangmeier and Y. Kuzyakov},
 booktitle = {Plant and Soil},
 journal = {Plant and Soil},
 pages = {15-28},
 title = {Effects of atmospheric CO2 enrichment on δ13C, δ15N values and turnover times of soil organic matter pools isolated by thermal techniques},
 volume = {297},
 year = {2007}
}
";plain;"M. Dorodnikov, A. Fangmeier, and Y. Kuzyakov. Effects of atmospheric co2 enrichment on δ13c, δ15n values and turnover times of soil organic matter pools isolated by thermal techniques. Plant and Soil, 297:15-28, 2007.
"
"@Article{Yucel2021ProgressingCP,
 author = {O. Yucel and Brenda Levy and G. González and Wayne Pilgrim and T. Soltys},
 booktitle = {Day 2 Wed, September 22, 2021},
 journal = {Day 2 Wed, September 22, 2021},
 title = {Progressing Cavity Pump Stainless Steel Impact in High Corrosive Environments Maximizing Economic Benefits in West Africa - Gabon},
 year = {2021}
}
";plain;"O. Yucel, Brenda Levy, G. González, Wayne Pilgrim, and T. Soltys. Progressing cavity pump stainless steel impact in high corrosive environments maximizing economic benefits in west africa - gabon. Day 2 Wed, September 22, 2021, 2021.
"
"@Article{Hebbar1998FormulationOM,
 author = {K. Hebbar and R. Lumsden and J. Lewis and S. M. Poch and B. Bailey},
 booktitle = {Weed science},
 journal = {Weed Science},
 pages = {501 - 507},
 title = {Formulation of mycoherbicidal strains of Fusarium oxysporum},
 volume = {46},
 year = {1998}
}
";plain;"K. Hebbar, R. Lumsden, J. Lewis, S. M. Poch, and B. Bailey. Formulation of mycoherbicidal strains of fusarium oxysporum. Weed Science, 46:501 - 507, 1998.
"
"@Article{Islam2004WaterAE,
 author = {S. Islam and M. Abély and N. Hoque Alam and F. Dossou and A. K. Azad Chowdhury and J. Desjeux},
 booktitle = {Journal of Pediatric Gastroenterology and Nutrition - JPGN},
 journal = {Journal of Pediatric Gastroenterology and Nutrition},
 pages = {27-33},
 title = {Water and Electrolyte Salvage in an Animal Model of Dehydration and Malnutrition},
 volume = {38},
 year = {2004}
}
";plain;"S. Islam, M. Abély, N. Hoque Alam, F. Dossou, A. K. Azad Chowdhury, and J. Desjeux. Water and electrolyte salvage in an animal model of dehydration and malnutrition. Journal of Pediatric Gastroenterology and Nutrition, 38:27-33, 2004.
"
"@Article{Yang2009TheGO,
 author = {Xiaoyong Yang and M. Ling and Weidong Sun and Xiandong Luo and Xiaodong Lai and Chiyang Liu and Jianyu Miao and Weidong Sun},
 journal = {International Geology Review},
 pages = {422 - 455},
 title = {The genesis of sandstone‐type uranium deposits in the Ordos Basin, NW China: constraints provided by fluid inclusions and stable isotopes},
 volume = {51},
 year = {2009}
}
";plain;"Xiaoyong Yang, M. Ling, Weidong Sun, Xiandong Luo, Xiaodong Lai, Chiyang Liu, Jianyu Miao, and Weidong Sun. The genesis of sandstone‐type uranium deposits in the ordos basin, nw china: constraints provided by fluid inclusions and stable isotopes. International Geology Review, 51:422 - 455, 2009.
"
"@Article{Karahaliloğlu2017MagneticSF,
 author = {Zeynep Karahaliloğlu and E. Yalçin and M. Demirbilek and E. Denkbaş},
 journal = {Journal of Bioactive and Compatible Polymers},
 pages = {596 - 614},
 title = {Magnetic silk fibroin e-gel scaffolds for bone tissue engineering applications},
 volume = {32},
 year = {2017}
}
";plain;"Zeynep Karahaliloğlu, E. Yalçin, M. Demirbilek, and E. Denkbaş. Magnetic silk fibroin e-gel scaffolds for bone tissue engineering applications. Journal of Bioactive and Compatible Polymers, 32:596 - 614, 2017.
"
"@Article{Shen2007EffectOL,
 author = {Zhou Shen},
 journal = {Journal of Ecology and Rural Environment},
 title = {Effect of Land Use on Ecological Benefit of Farm Belt in Suburbs},
 year = {2007}
}
";plain;"Zhou Shen. Effect of land use on ecological benefit of farm belt in suburbs. Journal of Ecology and Rural Environment, 2007.
"
"@Inproceedings{常云峰2014SeedingMF,
 author = {常云峰 and 黄小东},
 title = {Seeding method for synthesizing chabasite type molecular sieve with high silica/alumina ratio and application of the molecular sieve},
 year = {2014}
}
";plain;"常云峰 and 黄小东. Seeding method for synthesizing chabasite type molecular sieve with high silica/alumina ratio and application of the molecular sieve. 2014.
"
"@Article{Candelaria2010PredictionOA,
 author = {Pablo René Aragón Candelaria and A. J. Owens},
 journal = {Journal of Coatings Technology and Research},
 pages = {431-440},
 title = {Prediction of architectural coating performance using titanium dioxide characterization applying artificial neural networks},
 volume = {7},
 year = {2010}
}
";plain;"Pablo René Aragón Candelaria and A. J. Owens. Prediction of architectural coating performance using titanium dioxide characterization applying artificial neural networks. Journal of Coatings Technology and Research, 7:431-440, 2010.
"
"@Article{Magnall2020ANS,
 author = {J. Magnall and S. Gleeson and S. Paradis},
 journal = {Economic Geology},
 pages = {953-959},
 title = {A NEW SUBSEAFLOOR REPLACEMENT MODEL FOR THE MACMILLAN PASS CLASTIC-DOMINANT Zn-Pb ± Ba DEPOSITS (YUKON, CANADA)},
 volume = {115},
 year = {2020}
}
";plain;"J. Magnall, S. Gleeson, and S. Paradis. A new subseafloor replacement model for the macmillan pass clastic-dominant zn-pb ± ba deposits (yukon, canada). Economic Geology, 115:953-959, 2020.
"
"@Inproceedings{Ladopoulos2014ThreedimensionalMF,
 author = {E. Ladopoulos},
 title = {Three-dimensional Multiphase Flows by Non-linear Singular Integral Equations in Petroleum Engineering},
 year = {2014}
}
";plain;"E. Ladopoulos. Three-dimensional Multiphase Flows by Non-linear Singular Integral Equations in Petroleum Engineering. 2014.
"
"@Inproceedings{Aji2018PENGARUHPK,
 author = {Wahyu Purnomo Aji},
 title = {PENGARUH PEMBERIAN KONSENTRASI SLURRY YANGBERBEDA TERHADAP PRODUKSI DAN KOMPOSISIBIOGAS PADA RESIRKULASI FERMENTASI KULIT KOPISISTEM DIGESTER DISKONTINYU SATU TAHAP},
 year = {2018}
}
";plain;"Wahyu Purnomo Aji. PENGARUH PEMBERIAN KONSENTRASI SLURRY YANGBERBEDA TERHADAP PRODUKSI DAN KOMPOSISIBIOGAS PADA RESIRKULASI FERMENTASI KULIT KOPISISTEM DIGESTER DISKONTINYU SATU TAHAP. 2018.
"
"@Inproceedings{Chase2012BelizeRC,
 author = {Arlen F. Chase and Diane Z. Chase},
 pages = {3},
 title = {Belize Red Ceramics and Their Implications for Trade and Exchange in the Eastern Maya Lowlands},
 volume = {9},
 year = {2012}
}
";plain;"Arlen F. Chase and Diane Z. Chase. Belize Red Ceramics and Their Implications for Trade and Exchange in the Eastern Maya Lowlands. 2012.
"
"@Inproceedings{Ferreri2012ParticulateCA,
 author = {Matthew R. Ferreri},
 title = {Particulate Characterization and Control Evaluation for Carbon Fiber Composite Aircraft Crash Recovery Operations},
 year = {2012}
}
";plain;"Matthew R. Ferreri. Particulate Characterization and Control Evaluation for Carbon Fiber Composite Aircraft Crash Recovery Operations. 2012.
"
"@Article{Watts1998SoilFT,
 author = {Christopher W. Watts and Anthony R. Dexter},
 journal = {European Journal of Soil Science},
 title = {Soil friability: theory, measurement and the effects of management and organic carbon content},
 volume = {49},
 year = {1998}
}
";plain;"Christopher W. Watts and Anthony R. Dexter. Soil friability: theory, measurement and the effects of management and organic carbon content. European Journal of Soil Science, 1998.
"
"@Article{Oboňa2014BitingM,
 author = {J. Oboňa and Patrycja Dominiak},
 journal = {Oceanological and Hydrobiological Studies},
 pages = {61-65},
 title = {Biting midges (Diptera: Ceratopogonidae) in tree hole habitats in Slovakia},
 volume = {43},
 year = {2014}
}
";plain;"J. Oboňa and Patrycja Dominiak. Biting midges (diptera: ceratopogonidae) in tree hole habitats in slovakia. Oceanological and Hydrobiological Studies, 43:61-65, 2014.
"
"@Inproceedings{Ivich1996FeasibilityOM,
 author = {K. Ivich and W. James and I. Heathcote and J. FitzGibbon},
 pages = {524-529},
 title = {Feasibility of Modeling Phosphorus Dynamics in Stormwater Wetlands},
 year = {1996}
}
";plain;"K. Ivich, W. James, I. Heathcote, and J. FitzGibbon. Feasibility of Modeling Phosphorus Dynamics in Stormwater Wetlands. 1996.
"
"@Article{Cardoso2009DevelopmentAA,
 author = {M. A. Cardoso and L. Durlofsky and P. Sarma},
 journal = {International Journal for Numerical Methods in Engineering},
 title = {Development and application of reduced‐order modeling procedures for subsurface flow simulation},
 volume = {77},
 year = {2009}
}
";plain;"M. A. Cardoso, L. Durlofsky, and P. Sarma. Development and application of reduced‐order modeling procedures for subsurface flow simulation. International Journal for Numerical Methods in Engineering, 2009.
"
"@Inproceedings{樊小林2013HighnitrogenFC,
 author = {樊小林 and 黄丽娜},
 title = {High-nitrogen fluid compound fertilizer containing multiple protein fluid nutrient elements and preparation method thereof},
 year = {2013}
}
";plain;"樊小林 and 黄丽娜. High-nitrogen fluid compound fertilizer containing multiple protein fluid nutrient elements and preparation method thereof. 2013.
"
"@Inproceedings{Chen2013PossibleIO,
 author = {Xi Chen},
 title = {Possible improvement of performance of water mist fire suppression system by chemical additives},
 year = {2013}
}
";plain;"Xi Chen. Possible improvement of performance of water mist fire suppression system by chemical additives. 2013.
"
"@Article{Xia2017SilverINN,
 author = {Changkun Xia and Kaiwen Yang and Wen Sun and Xiao-Jing Lu and Jimin Xie},
 journal = {Journal of Coordination Chemistry},
 pages = {615 - 625},
 title = {Silver(I), nickel(II) N-heterocyclic carbene complexes based on bidentate bis-imidazolium salt with a quinoxaline linker: syntheses, structures, and characterization},
 volume = {70},
 year = {2017}
}
";plain;"Changkun Xia, Kaiwen Yang, Wen Sun, Xiao-Jing Lu, and Jimin Xie. Silver(i), nickel(ii) n-heterocyclic carbene complexes based on bidentate bis-imidazolium salt with a quinoxaline linker: syntheses, structures, and characterization. Journal of Coordination Chemistry, 70:615 - 625, 2017.
"
"@Inproceedings{Beijing2008DiscussionOM,
 author = {S. Beijing},
 title = {Discussion on Modification Plan of Ethylene Glycol Plant},
 year = {2008}
}
";plain;"S. Beijing. Discussion on Modification Plan of Ethylene Glycol Plant. 2008.
"
"@Article{Schwartz1982STRONGLYNW,
 author = {L. Schwartz and J. Fenton},
 journal = {Annual Review of Fluid Mechanics},
 pages = {39-60},
 title = {STRONGLY NONLINEAR WAVES},
 volume = {14},
 year = {1982}
}
";plain;"L. Schwartz and J. Fenton. Strongly nonlinear waves. Annual Review of Fluid Mechanics, 14:39-60, 1982.
"
"@Article{Ha1984TheRB,
 author = {el-Boulaqi Ha and el-Refaie Sa and Bassiouny Ga and Amin Fm},
 journal = {Journal of the Egyptian Society of Parasitology},
 pages = {495},
 title = {The relation between Trichomonas vaginalis and contraceptive measures.},
 volume = {14},
 year = {1984}
}
";plain;"el-Boulaqi Ha, el-Refaie Sa, Bassiouny Ga, and Amin Fm. The relation between trichomonas vaginalis and contraceptive measures. Journal of the Egyptian Society of Parasitology, 14:495, 1984.
"
"@Article{Wen-ning2009ThoughtsOT,
 author = {Liang Wen-ning},
 journal = {Journal of Guangdong Education Institute},
 title = {Thoughts on the Flowing Water in the River——the Extension and Development of Confucian View of Life},
 year = {2009}
}
";plain;"Liang Wen-ning. Thoughts on the flowing water in the river——the extension and development of confucian view of life. Journal of Guangdong Education Institute, 2009.
"
"@Inproceedings{Sattar2019OPTIMIZATIONOF,
 author = {M. Sattar and M. N. Syed},
 title = {OPTIMIZATION OF FERMENTATION CONDITIONS FOR THE BIO SYNTHESIS OF CELLULASE THROUGH NEWLY ISOLATED STRAIN OF BACILLUS},
 year = {2019}
}
";plain;"M. Sattar and M. N. Syed. OPTIMIZATION OF FERMENTATION CONDITIONS FOR THE BIO SYNTHESIS OF CELLULASE THROUGH NEWLY ISOLATED STRAIN OF BACILLUS. 2019.
"
"@Inproceedings{Pereira2010AnalysisOT,
 author = {Tiago C. Pereira},
 title = {Analysis of the effect of the deceleration of the OWC for wave-energy extraction},
 year = {2010}
}
";plain;"Tiago C. Pereira. Analysis of the effect of the deceleration of the OWC for wave-energy extraction. 2010.
"
"@Article{Subramaniam2005InfluenceOU,
 author = {K. Subramaniam and R. Gromotka and Surendra P. Shah and K. Obla and R. Hill},
 journal = {Journal of Materials in Civil Engineering},
 pages = {45-53},
 title = {Influence of Ultrafine Fly Ash on the Early Age Response and the Shrinkage Cracking Potential of Concrete},
 volume = {17},
 year = {2005}
}
";plain;"K. Subramaniam, R. Gromotka, Surendra P. Shah, K. Obla, and R. Hill. Influence of ultrafine fly ash on the early age response and the shrinkage cracking potential of concrete. Journal of Materials in Civil Engineering, 17:45-53, 2005.
"
"@Article{Ruan2023CombustionCA,
 author = {R. Ruan and Wenjing Ma and Guan Wang and Jianyu Li and Zhou Ao and Jie Lu and Minghui Yang and Chen Yi and H. Tan and Xuepeng Wang},
 booktitle = {Thermal Science},
 journal = {Thermal Science},
 title = {Combustion characteristics and migration behavior of nuclides during incineration of low-level radioactive waste},
 year = {2023}
}
";plain;"R. Ruan, Wenjing Ma, Guan Wang, Jianyu Li, Zhou Ao, Jie Lu, Minghui Yang, Chen Yi, H. Tan, and Xuepeng Wang. Combustion characteristics and migration behavior of nuclides during incineration of low-level radioactive waste. Thermal Science, 2023.
"
"@Inproceedings{Ito2017TurbiditeMR,
 author = {Makoto Ito},
 title = {Turbidite models revisited},
 year = {2017}
}
";plain;"Makoto Ito. Turbidite models revisited. 2017.
"
"@Article{Soltani2018CalcinedMA,
 author = {A. Soltani and A. Tarighat and Masoud Varmazyari},
 booktitle = {International Journal of Civil Engineering},
 journal = {International Journal of Civil Engineering},
 pages = {1549 - 1559},
 title = {Calcined Marl and Condensed Silica Fume as Partial Replacement for Ordinary Portland Cement},
 volume = {16},
 year = {2018}
}
";plain;"A. Soltani, A. Tarighat, and Masoud Varmazyari. Calcined marl and condensed silica fume as partial replacement for ordinary portland cement. International Journal of Civil Engineering, 16:1549 - 1559, 2018.
"
"@Article{Wang2009ImpactOS,
 author = {B. Wang and Serguei Tchessalov and N. Warne and M. Pikal},
 booktitle = {Journal of Pharmacy and Science},
 journal = {Journal of pharmaceutical sciences},
 pages = {
          3131-44
        },
 title = {Impact of sucrose level on storage stability of proteins in freeze-dried solids: I. Correlation of protein-sugar interaction with native structure preservation.},
 volume = {98 9},
 year = {2009}
}
";plain;"B. Wang, Serguei Tchessalov, N. Warne, and M. Pikal. Impact of sucrose level on storage stability of proteins in freeze-dried solids: i. correlation of protein-sugar interaction with native structure preservation. Journal of pharmaceutical sciences, 98 9:3131-44, 2009.
"
"@Article{Şener2013DeterminationOF,
 author = {Y. Şener and M. Botsalı and S. Yıldırım},
 journal = {Journal of Pediatric Dentistry},
 pages = {63 - 66},
 title = {Determination of fluoride levels after brewing in three Turkish black tea products},
 volume = {1},
 year = {2013}
}
";plain;"Y. Şener, M. Botsalı, and S. Yıldırım. Determination of fluoride levels after brewing in three turkish black tea products. Journal of Pediatric Dentistry, 1:63 - 66, 2013.
"
"@Article{Zaghloul2019PhysicalIF,
 author = {A. Zaghloul and M. Saber and M. Abd-El-Hady},
 booktitle = {Bulletin of the National Research Centre},
 journal = {Bulletin of the National Research Centre},
 title = {Physical indicators for pollution detection in terrestrial and aquatic ecosystems},
 volume = {43},
 year = {2019}
}
";plain;"A. Zaghloul, M. Saber, and M. Abd-El-Hady. Physical indicators for pollution detection in terrestrial and aquatic ecosystems. Bulletin of the National Research Centre, 2019.
"
"@Inproceedings{Xiao2002WaterproofDO,
 author = {W. Xiao},
 title = {Waterproof design of water supply and sewage pipeline in collapsible loess area},
 year = {2002}
}
";plain;"W. Xiao. Waterproof design of water supply and sewage pipeline in collapsible loess area. 2002.
"
